<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GC,I,20250107,000500,2647.1,2647.1,2645.8,2646.0,145,0
GC,I,20250107,001000,2646.0,2646.7,2646.0,2646.2,101,0
GC,I,20250107,001500,2646.5,2646.5,2646.2,2646.2,47,0
GC,I,20250107,002000,2646.1,2646.1,2645.5,2645.6,70,0
GC,I,20250107,002500,2645.6,2646.1,2645.5,2645.8,87,0
GC,I,20250107,003000,2645.8,2645.9,2645.6,2645.6,24,0
GC,I,20250107,003500,2645.6,2645.6,2644.9,2645.0,91,0
GC,I,20250107,004000,2645.0,2645.5,2644.9,2645.4,75,0
GC,I,20250107,004500,2645.2,2645.5,2644.9,2645.1,61,0
GC,I,20250107,005000,2645.1,2645.1,2644.4,2644.4,56,0
GC,I,20250107,005500,2644.5,2645.8,2644.4,2645.6,97,0
GC,I,20250107,010000,2645.7,2645.7,2644.9,2645.1,176,0
GC,I,20250107,010500,2645.3,2645.7,2645.0,2645.0,91,0
GC,I,20250107,011000,2645.0,2645.2,2644.6,2644.6,39,0
GC,I,20250107,011500,2644.5,2645.3,2644.5,2645.0,70,0
GC,I,20250107,012000,2645.1,2645.1,2644.3,2644.4,52,0
GC,I,20250107,012500,2644.5,2644.5,2643.7,2643.9,197,0
GC,I,20250107,013000,2644.0,2644.3,2643.8,2643.8,82,0
GC,I,20250107,013500,2643.8,2644.7,2643.5,2644.5,89,0
GC,I,20250107,014000,2644.6,2644.6,2644.0,2644.1,107,0
GC,I,20250107,014500,2644.1,2644.9,2644.0,2644.3,86,0
GC,I,20250107,015000,2644.2,2645.8,2644.1,2645.5,296,0
GC,I,20250107,015500,2645.5,2646.0,2645.5,2645.6,84,0
GC,I,20250107,020000,2645.6,2646.4,2645.2,2646.3,101,0
GC,I,20250107,020500,2646.2,2649.5,2646.0,2647.5,937,0
GC,I,20250107,021000,2647.5,2647.9,2646.3,2647.7,191,0
GC,I,20250107,021500,2647.4,2648.7,2647.0,2648.2,189,0
GC,I,20250107,022000,2648.3,2648.6,2646.7,2647.4,239,0
GC,I,20250107,022500,2647.5,2650.4,2647.4,2650.0,385,0
GC,I,20250107,023000,2650.2,2650.2,2647.9,2648.5,786,0
GC,I,20250107,023500,2648.5,2649.3,2647.5,2648.5,464,0
GC,I,20250107,024000,2648.5,2649.9,2648.2,2649.7,449,0
GC,I,20250107,024500,2649.9,2650.4,2648.2,2649.4,270,0
GC,I,20250107,025000,2649.5,2651.5,2649.2,2651.2,342,0
GC,I,20250107,025500,2651.2,2652.1,2650.4,2651.2,296,0
GC,I,20250107,030000,2651.3,2651.3,2650.0,2650.1,172,0
GC,I,20250107,030500,2650.0,2651.2,2650.0,2650.3,166,0
GC,I,20250107,031000,2650.1,2650.2,2648.9,2649.6,168,0
GC,I,20250107,031500,2649.6,2649.6,2648.7,2648.9,83,0
GC,I,20250107,032000,2648.8,2649.6,2648.3,2649.2,108,0
GC,I,20250107,032500,2649.2,2649.2,2648.0,2648.0,111,0
GC,I,20250107,033000,2648.0,2649.2,2647.8,2648.9,78,0
GC,I,20250107,033500,2648.8,2649.1,2647.7,2647.7,129,0
GC,I,20250107,034000,2647.7,2648.8,2647.4,2648.8,111,0
GC,I,20250107,034500,2648.7,2648.7,2648.2,2648.4,76,0
GC,I,20250107,035000,2648.4,2649.5,2647.8,2649.2,114,0
GC,I,20250107,035500,2649.3,2649.3,2648.3,2649.3,87,0
GC,I,20250107,040000,2649.2,2650.2,2648.4,2648.8,489,0
GC,I,20250107,040500,2648.8,2648.8,2647.7,2648.5,162,0
GC,I,20250107,041000,2648.3,2648.3,2647.6,2648.1,124,0
GC,I,20250107,041500,2648.0,2649.2,2648.0,2649.0,120,0
GC,I,20250107,042000,2649.1,2649.6,2648.9,2649.5,110,0
GC,I,20250107,042500,2649.5,2649.7,2649.2,2649.5,39,0
GC,I,20250107,043000,2649.6,2650.0,2649.1,2649.4,110,0
GC,I,20250107,043500,2649.2,2650.7,2649.2,2650.0,155,0
GC,I,20250107,044000,2650.0,2650.5,2649.5,2650.0,74,0
GC,I,20250107,044500,2650.0,2650.9,2649.9,2650.1,168,0
GC,I,20250107,045000,2650.0,2650.2,2649.4,2649.7,66,0
GC,I,20250107,045500,2649.8,2649.9,2649.4,2649.6,54,0
GC,I,20250107,050000,2649.6,2650.7,2649.3,2650.7,91,0
GC,I,20250107,050500,2650.5,2650.5,2649.6,2650.3,59,0
GC,I,20250107,051000,2650.3,2650.7,2649.6,2649.6,90,0
GC,I,20250107,051500,2649.5,2650.0,2649.4,2649.7,84,0
GC,I,20250107,052000,2649.6,2650.3,2649.6,2649.6,60,0
GC,I,20250107,052500,2649.7,2649.9,2648.6,2649.0,112,0
GC,I,20250107,053000,2649.1,2649.2,2648.3,2649.0,165,0
GC,I,20250107,053500,2649.1,2649.4,2648.9,2649.0,50,0
GC,I,20250107,054000,2649.1,2649.5,2648.8,2648.9,61,0
GC,I,20250107,054500,2648.9,2649.2,2648.6,2648.6,60,0
GC,I,20250107,055000,2648.7,2649.2,2648.7,2648.9,99,0
GC,I,20250107,055500,2648.7,2650.4,2648.7,2649.9,228,0
GC,I,20250107,060000,2649.9,2649.9,2648.6,2648.9,109,0
GC,I,20250107,060500,2648.9,2649.1,2647.7,2649.1,142,0
GC,I,20250107,061000,2648.8,2649.6,2648.8,2649.5,76,0
GC,I,20250107,061500,2649.4,2649.9,2649.3,2649.8,63,0
GC,I,20250107,062000,2649.6,2651.4,2649.6,2651.1,180,0
GC,I,20250107,062500,2651.1,2654.3,2651.0,2653.7,783,0
GC,I,20250107,063000,2653.6,2654.3,2652.8,2653.7,276,0
GC,I,20250107,063500,2653.8,2655.0,2653.3,2654.4,430,0
GC,I,20250107,064000,2654.2,2656.2,2654.0,2655.6,405,0
GC,I,20250107,064500,2655.8,2655.8,2654.4,2654.7,150,0
GC,I,20250107,065000,2654.9,2655.4,2654.8,2655.0,84,0
GC,I,20250107,065500,2654.8,2655.4,2654.3,2655.3,141,0
GC,I,20250107,070000,2655.2,2655.2,2654.0,2654.9,230,0
GC,I,20250107,070500,2654.9,2656.3,2654.5,2655.5,291,0
GC,I,20250107,071000,2655.7,2657.6,2655.7,2657.2,496,0
GC,I,20250107,071500,2657.3,2657.5,2656.1,2656.3,217,0
GC,I,20250107,072000,2656.3,2656.8,2656.0,2656.2,210,0
GC,I,20250107,072500,2656.1,2656.4,2654.5,2654.7,466,0
GC,I,20250107,073000,2656.4,2656.9,2656.4,2656.6,140,0
GC,I,20250107,073500,2656.9,2657.4,2656.3,2657.1,380,0
GC,I,20250107,074000,2657.1,2657.2,2654.9,2654.9,415,0
GC,I,20250107,074500,2654.8,2655.7,2654.3,2655.1,173,0
GC,I,20250107,075000,2655.1,2655.3,2653.4,2653.5,298,0
GC,I,20250107,075500,2653.5,2653.6,2652.3,2652.9,393,0
GC,I,20250107,080000,2653.0,2653.3,2651.7,2652.1,485,0
GC,I,20250107,080500,2652.0,2653.5,2651.6,2653.5,321,0
GC,I,20250107,081000,2653.5,2653.7,2652.7,2653.3,109,0
GC,I,20250107,081500,2653.2,2653.3,2651.5,2651.5,115,0
GC,I,20250107,082000,2651.5,2652.2,2651.2,2652.1,142,0
GC,I,20250107,082500,2652.3,2652.7,2650.8,2651.2,175,0
GC,I,20250107,083000,2651.3,2652.0,2651.0,2651.9,88,0
GC,I,20250107,083500,2652.0,2652.7,2651.5,2651.5,258,0
GC,I,20250107,084000,2651.5,2651.5,2650.8,2651.3,189,0
GC,I,20250107,084500,2651.2,2651.4,2650.3,2650.8,197,0
GC,I,20250107,085000,2650.6,2651.0,2650.2,2650.5,117,0
GC,I,20250107,085500,2650.5,2651.0,2649.7,2650.0,134,0
GC,I,20250107,090000,2650.1,2652.3,2650.0,2652.2,184,0
GC,I,20250107,090500,2652.1,2655.8,2651.7,2655.3,1379,0
GC,I,20250107,091000,2655.3,2655.3,2652.9,2653.1,316,0
GC,I,20250107,091500,2653.0,2654.8,2653.0,2654.6,441,0
GC,I,20250107,092000,2654.6,2656.2,2654.5,2655.2,326,0
GC,I,20250107,092500,2655.2,2656.1,2654.4,2656.0,275,0
GC,I,20250107,093000,2656.1,2656.7,2655.5,2655.8,171,0
GC,I,20250107,093500,2655.9,2656.6,2655.7,2655.9,269,0
GC,I,20250107,094000,2656.1,2656.1,2654.9,2655.0,184,0
GC,I,20250107,094500,2655.0,2655.8,2654.7,2654.7,193,0
GC,I,20250107,095000,2654.7,2655.2,2653.4,2653.5,264,0
GC,I,20250107,095500,2653.5,2653.6,2651.9,2652.2,310,0
GC,I,20250107,100000,2652.1,2653.9,2651.7,2653.8,316,0
GC,I,20250107,100500,2653.8,2654.2,2652.4,2652.7,290,0
GC,I,20250107,101000,2652.7,2653.3,2651.5,2651.6,290,0
GC,I,20250107,101500,2651.6,2652.9,2651.2,2651.6,224,0
GC,I,20250107,102000,2651.4,2652.8,2651.3,2652.3,152,0
GC,I,20250107,102500,2652.2,2652.7,2651.6,2652.6,156,0
GC,I,20250107,103000,2652.7,2655.8,2652.4,2655.7,608,0
GC,I,20250107,103500,2655.6,2655.6,2653.7,2654.2,346,0
GC,I,20250107,104000,2654.1,2654.2,2652.9,2654.1,278,0
GC,I,20250107,104500,2654.1,2654.2,2652.5,2652.9,124,0
GC,I,20250107,105000,2652.7,2653.1,2651.9,2652.2,159,0
GC,I,20250107,105500,2652.5,2654.0,2652.5,2653.2,212,0
GC,I,20250107,110000,2653.0,2653.7,2652.6,2652.9,128,0
GC,I,20250107,110500,2652.8,2653.9,2652.8,2653.3,108,0
GC,I,20250107,111000,2653.5,2655.3,2653.4,2654.8,148,0
GC,I,20250107,111500,2654.7,2655.2,2654.0,2654.6,128,0
