fecha,oro
1999-07-28,253.9
1999-08-28,253.4
1999-09-28,307.9
1999-10-28,298.4
1999-11-28,297.8
1999-12-28,289.3
2000-01-28,282.8
2000-02-28,291.7
2000-03-28,278.7
2000-04-28,272.5
2000-05-28,271.3
2000-06-28,292.2
2000-07-28,277.7
2000-08-28,273.6
2000-09-28,275.8
2000-10-28,264.4
2000-11-28,269.5
2000-12-28,271.5
2001-01-28,262.3
2001-02-28,267.1
2001-03-28,260.0
2001-04-28,263.8
2001-05-28,277.5
2001-06-28,269.3
2001-07-28,267.0
2001-08-28,271.9
2001-09-28,291.55
2001-10-28,277.1
2001-11-28,273.7
2001-12-28,276.0
2002-01-28,278.2
2002-02-28,296.5
2002-03-28,303.2
2002-04-28,311.4
2002-05-28,323.9
2002-06-28,313.9
2002-07-28,302.8
2002-08-28,309.5
2002-09-28,319.9
2002-10-28,315.1
2002-11-28,317.0
2002-12-28,348.9
2003-01-28,369.8
2003-02-28,349.6
2003-03-28,331.5
2003-04-28,334.3
2003-05-28,365.2
2003-06-28,344.9
2003-07-28,364.8
2003-08-28,369.9
2003-09-28,380.2
2003-10-28,382.8
2003-11-28,395.5
2003-12-28,411.8
2004-01-28,414.6
2004-02-28,409.9
2004-03-28,422.1
2004-04-28,385.5
2004-05-28,393.7
2004-06-28,400.6
2004-07-28,389.6
2004-08-28,402.9
2004-09-28,412.3
2004-10-28,424.7
2004-11-28,449.0
2004-12-28,444.1
2005-01-28,425.2
2005-02-28,436.1
2005-03-28,425.5
2005-04-28,430.5
2005-05-28,419.3
2005-06-28,435.9
2005-07-28,426.8
2005-08-28,436.8
2005-09-28,469.4
2005-10-28,472.8
2005-11-28,498.3
2005-12-28,513.8
2006-01-28,558.5
2006-02-28,561.5
2006-03-28,566.6
2006-04-28,651.6
2006-05-28,650.8
2006-06-28,578.2
2006-07-28,635.3
2006-08-28,614.9
2006-09-28,602.8
2006-10-28,598.0
2006-11-28,636.8
2006-12-28,634.2
