FECHA,sp50
1999-07-28,1286.4144
1999-08-28,1289.5934
1999-09-28,1221.143
1999-10-28,1276.69
1999-11-28,1400.2367
1999-12-28,1447.0964
2000-01-28,1388.0596
2000-02-28,1394.1978
2000-03-28,1558.86
2000-04-28,1593.7993
2000-05-28,1488.3029
2000-06-28,1538.0269
2000-07-28,1531.5388
2000-08-28,1683.8195
2000-09-28,1651.7045
2000-10-28,1637.0951
2000-11-28,1562.6787
2000-12-28,1441.3098
2001-01-28,1469.5774
2001-02-28,1348.3467
2001-03-28,1296.997
2001-04-28,1403.8207
2001-05-28,1491.469
2001-06-28,1445.138
2001-07-28,1380.6047
2001-08-28,1277.2266
2001-09-28,1143.0103
2001-10-28,1237.9353
2001-11-28,1273.8689
2001-12-28,1316.6478
2002-01-28,1315.3705
2002-02-28,1279.4563
2002-03-28,1315.2107
2002-04-28,1197.6405
2002-05-28,1156.6736
2002-06-28,1002.23804
2002-07-28,862.5002
2002-08-28,935.3609
2002-09-28,848.0625
2002-10-28,905.534
2002-11-28,948.6408
2002-12-28,841.2454
2003-01-28,792.23065
2003-02-28,780.43243
2003-03-28,803.0317
2003-04-28,831.8997
2003-05-28,811.907
2003-06-28,854.497
2003-07-28,867.44476
2003-08-28,919.44586
2003-09-28,868.8664
2003-10-28,895.688
2003-11-28,882.78955
2003-12-28,880.2682
2004-01-28,896.4724
2004-02-28,921.4809
2004-03-28,915.8659
2004-04-28,947.7013
2004-05-28,917.72485
2004-06-28,929.69946
2004-07-28,909.8548
2004-08-28,920.342
2004-09-28,901.57196
2004-10-28,885.2737
2004-11-28,891.8932
2004-12-28,892.14484
2005-01-28,900.3881
2005-02-28,906.76935
2005-03-28,912.0269
2005-04-28,885.15295
2005-05-28,955.6219
2005-06-28,994.71844
2005-07-28,1029.2716
2005-08-28,977.253
2005-09-28,1013.3566
2005-10-28,990.38043
2005-11-28,1066.2317
2005-12-28,1055.9104
2006-01-28,1057.7352
2006-02-28,1074.1536
2006-03-28,1070.1555
2006-04-28,1040.4552
2006-05-28,1006.37604
2006-06-28,994.612
2006-07-28,1001.5667
2006-08-28,1017.7749
2006-09-28,1055.4043
2006-10-28,1082.5166
2006-11-28,1054.4998
2006-12-28,1083.9807
2007-01-28,1102.0808
2007-02-28,1065.0062
2007-03-28,1060.2057
2007-04-28,1094.0358
2007-05-28,1126.3925
2007-06-28,1118.2814
2007-07-28,1068.3973
2007-08-28,1049.9249
2007-09-28,1073.5507
2007-10-28,1067.1671
2007-11-28,995.507
2007-12-28,1005.46765
2008-01-28,915.12286
2008-02-28,901.0641
2008-03-28,834.60986
2008-04-28,892.677
2008-05-28,889.99524
2008-06-28,811.64404
2008-07-28,784.3494
2008-08-28,883.4641
2008-09-28,830.45905
2008-10-28,753.91583
2008-11-28,706.3125
2008-12-28,621.03314
2009-01-28,660.9876
2009-02-28,578.78827
2009-03-28,613.2121
2009-04-28,653.91705
2009-05-28,650.43036
2009-06-28,653.1149
2009-07-28,690.9194
2009-08-28,715.8521
2009-09-28,726.60034
2009-10-28,706.22144
2009-11-28,728.7531
2009-12-28,783.69763
2010-01-28,776.884
2010-02-28,809.32806
2010-03-28,870.687
2010-04-28,902.27203
2010-05-28,883.4367
2010-06-28,871.2965
2010-07-28,849.8886
2010-08-28,837.00757
2010-09-28,847.2611
2010-10-28,851.6096
2010-11-28,900.0038
2010-12-28,958.35364
2011-01-28,936.7633
2011-02-28,960.91797
2011-03-28,928.8175
2011-04-28,917.81683
2011-05-28,933.4502
2011-06-28,902.785
