fecha,t10
1999-07-28,5.82
1999-08-28,5.85
1999-09-28,5.83
1999-10-28,6.19
1999-11-28,6.12
1999-12-28,6.4
2000-01-28,6.68
2000-02-28,6.36
2000-03-28,6.21
2000-04-28,6.23
2000-05-28,6.33
2000-06-28,6.1
2000-07-28,6.02
2000-08-28,5.73
2000-09-28,5.83
2000-10-28,5.72
2000-11-28,5.64
2000-12-28,5.11
2001-01-28,5.29
2001-02-28,4.96
2001-03-28,5.0
2001-04-28,5.34
2001-05-28,5.52
2001-06-28,5.26
2001-07-28,5.13
2001-08-28,4.94
2001-09-28,4.58
2001-10-28,4.53
2001-11-28,4.98
2001-12-28,5.13
2002-01-28,5.1
2002-02-28,4.84
2002-03-28,5.35
2002-04-28,5.08
2002-05-28,5.16
2002-06-28,4.84
2002-07-28,4.43
2002-08-28,4.29
2002-09-28,3.69
2002-10-28,4.12
2002-11-28,4.26
2002-12-28,3.83
2003-01-28,3.98
2003-02-28,3.76
2003-03-28,3.95
2003-04-28,3.91
2003-05-28,3.41
2003-06-28,3.58
2003-07-28,4.22
2003-08-28,4.54
2003-09-28,4.04
2003-10-28,4.3
2003-11-28,4.25
2003-12-28,4.17
2004-01-28,4.11
2004-02-28,3.99
2004-03-28,3.85
2004-04-28,4.43
2004-05-28,4.6
2004-06-28,4.66
2004-07-28,4.62
2004-08-28,4.23
2004-09-28,4.01
2004-10-28,4.11
2004-11-28,4.24
2004-12-28,4.3
2005-01-28,4.22
2005-02-28,4.27
2005-03-28,4.6
2005-04-28,4.25
2005-05-28,4.08
2005-06-28,3.9
2005-07-28,4.27
2005-08-28,4.2
2005-09-28,4.3
2005-10-28,4.57
2005-11-28,4.43
2005-12-28,4.34
2006-01-28,4.52
2006-02-28,4.59
2006-03-28,4.7
2006-04-28,5.09
2006-05-28,5.06
2006-06-28,5.21
2006-07-28,5.07
2006-08-28,4.79
2006-09-28,4.6
2006-10-28,4.68
2006-11-28,4.54
2006-12-28,4.66
2007-01-28,4.88
2007-02-28,4.5
2007-03-28,4.62
2007-04-28,4.71
2007-05-28,4.86
2007-06-28,5.09
2007-07-28,4.8
2007-08-28,4.6
2007-09-28,4.58
2007-10-28,4.41
2007-11-28,3.95
2007-12-28,4.21
2008-01-28,3.61
2008-02-28,3.85
2008-03-28,3.56
2008-04-28,3.91
